DCode,Date,Average Price-2020,Average Price-2021,Average Price-2022,Closing Value-2020,Closing Value-2021,Closing Value-2022
D6,12/13/2021,$0.93 ,$0.91 ,$0.91 ,$0.93 ,$0.92 ,$0.93 
D5,12/13/2021,$1.47 ,$1.46 ,$1.19 ,$1.47 ,$1.46 ,$1.19 
D4,12/13/2021,$1.48 ,$1.43 ,$1.20 ,$1.48 ,$1.47 ,$1.20 
D3,12/13/2021,$3.50 ,$3.50 ,$3.03 ,$3.50 ,$3.50 ,$3.03 
D6,12/10/2021,$0.96 ,$0.97 ,$0.96 ,$0.96 ,$0.97 ,$0.99 
D5,12/10/2021,$1.44 ,$1.47 ,$1.44 ,$1.44 ,$1.47 ,$1.44 
D4,12/10/2021,$1.45 ,$1.48 ,$1.45 ,$1.45 ,$1.48 ,$1.45 
D3,12/10/2021,$3.42 ,$3.45 ,$3.46 ,$3.42 ,$3.45 ,$3.46 
D4,12/9/2021,$1.43 ,$1.53 ,$1.48 ,$1.43 ,$1.53 ,$1.49 
D6,12/9/2021,$1.00 ,$1.05 ,$1.07 ,$1.00 ,$1.05 ,$1.07 
D5,12/9/2021,$1.42 ,$1.52 ,$1.48 ,$1.42 ,$1.52 ,$1.48 
D3,12/9/2021,$3.35 ,$3.43 ,$3.46 ,$3.35 ,$3.43 ,$3.35 
D4,12/8/2021,$1.43 ,$1.46 ,$1.43 ,$1.43 ,$1.46 ,$1.43 
D6,12/8/2021,$1.00 ,$1.02 ,$1.06 ,$1.00 ,$1.02 ,$1.05 
D5,12/8/2021,$1.42 ,$1.45 ,$1.42 ,$1.42 ,$1.45 ,$1.42 
D3,12/8/2021,$3.35 ,$3.37 ,$3.38 ,$3.35 ,$3.37 ,$3.39 
D3,12/7/2021,$3.35 ,$3.37 ,$3.39 ,$3.34 ,$3.37 ,$3.39 
D6,12/7/2021,$0.93 ,$0.94 ,$0.95 ,$0.93 ,$0.94 ,$0.95 
D5,12/7/2021,$1.40 ,$1.42 ,$1.39 ,$1.40 ,$1.42 ,$1.39 
D4,12/7/2021,$1.41 ,$1.43 ,$1.40 ,$1.41 ,$1.43 ,$1.40 
D6,12/6/2021,$0.89 ,$0.88 ,$0.91 ,$0.86 ,$0.87 ,$0.90 
D5,12/6/2021,$1.38 ,$1.41 ,$1.38 ,$1.38 ,$1.41 ,$1.38 
D4,12/6/2021,$1.39 ,$1.42 ,$1.38 ,$1.39 ,$1.42 ,$1.39 
D3,12/6/2021,$3.31 ,$3.33 ,$3.35 ,$3.31 ,$3.33 ,$3.35 
D4,12/3/2021,$1.40 ,$1.42 ,$1.37 ,$1.40 ,$1.42 ,$1.38 
D6,12/3/2021,$0.89 ,$0.90 ,$1.91 ,$0.89 ,$0.90 ,$0.92 
D5,12/3/2021,$1.39 ,$1.41 ,$1.36 ,$1.39 ,$1.41 ,$1.36 
D3,12/3/2021,$3.31 ,$3.33 ,$3.45 ,$3.31 ,$3.33 ,$3.35 
D3,12/2/2021,$3.32 ,$3.34 ,$3.41 ,$3.32 ,$3.34 ,$3.26 
D4,12/2/2021,$1.43 ,$1.45 ,$1.42 ,$1.43 ,$1.45 ,$1.40 
D5,12/2/2021,$1.41 ,$1.44 ,$1.39 ,$1.41 ,$1.44 ,$1.39 
D6,12/2/2021,$0.96 ,$0.97 ,$1.03 ,$0.96 ,$0.97 ,$0.99 
D3,12/1/2021,$3.34 ,$3.36 ,$3.40 ,$3.34 ,$3.36 ,$3.40 
D5,12/1/2021,$1.44 ,$1.45 ,$1.43 ,$1.44 ,$1.45 ,$1.43 
D6,12/1/2021,$1.05 ,$1.06 ,$1.08 ,$1.05 ,$1.06 ,$1.08 
D4,12/1/2021,$1.45 ,$1.47 ,$1.43 ,$1.45 ,$1.47 ,$1.45 
D6,11/30/2021,$1.05 ,$1.06 ,$1.08 ,$1.05 ,$1.06 ,$1.07 
D5,11/30/2021,$1.44 ,$1.47 ,$1.41 ,$1.44 ,$1.47 ,$1.41 
D4,11/30/2021,$1.45 ,$1.47 ,$1.43 ,$1.45 ,$1.47 ,$1.42 
D3,11/30/2021,$3.40 ,$3.43 ,$3.46 ,$3.40 ,$3.43 ,$3.46 
D5,11/23/2021,$1.45 ,$1.48 ,$1.43 ,$1.45 ,$1.48 ,$1.43 
D6,11/23/2021,$1.08 ,$1.09 ,$1.10 ,$1.08 ,$1.09 ,$1.10 
D4,11/23/2021,$1.46 ,$1.49 ,$1.44 ,$1.46 ,$1.49 ,$1.44 
D3,11/23/2021,$3.39 ,$3.42 ,$3.46 ,$3.39 ,$3.42 ,$3.46 
D5,11/22/2021,$1.43 ,$1.47 ,$1.42 ,$1.43 ,$1.47 ,$1.42 
D3,11/22/2021,$3.42 ,$3.44 ,$3.47 ,$3.42 ,$3.44 ,$3.47 
D4,11/22/2021,$1.44 ,$1.48 ,$1.43 ,$1.44 ,$1.48 ,$1.43 
D6,11/22/2021,$1.06 ,$1.07 ,$1.08 ,$1.06 ,$1.07 ,$1.08 
D6,11/19/2021,$1.05 ,$1.06 ,$1.07 ,$1.05 ,$1.06 ,$1.07 
D5,11/19/2021,$1.42 ,$1.46 ,$1.42 ,$1.42 ,$1.46 ,$1.42 
D4,11/19/2021,$1.43 ,$1.47 ,$1.43 ,$1.43 ,$1.47 ,$1.43 
D3,11/19/2021,$3.43 ,$3.45 ,$3.48 ,$3.43 ,$3.45 ,$3.48 
D5,11/18/2021,$1.41 ,$1.45 ,$1.29 ,$1.41 ,$1.45 ,$1.39 
D6,11/18/2021,$1.04 ,$1.05 ,$1.06 ,$1.04 ,$1.05 ,$1.05 
D3,11/18/2021,$3.43 ,$3.45 ,$3.48 ,$3.43 ,$3.45 ,$3.48 
D4,11/18/2021,$1.42 ,$1.46 ,$1.40 ,$1.42 ,$1.46 ,$1.40 
D4,11/17/2021,$1.43 ,$1.47 ,$1.41 ,$1.43 ,$1.47 ,$1.42 
D3,11/17/2021,$3.43 ,$3.45 ,$3.48 ,$3.43 ,$3.41 ,$3.48 
D6,11/17/2021,$1.08 ,$1.09 ,$1.10 ,$1.08 ,$1.09 ,$1.10 
D5,11/17/2021,$1.42 ,$1.46 ,$1.41 ,$1.42 ,$1.46 ,$1.41 
D6,11/16/2021,$1.08 ,$1.09 ,$1.10 ,$1.08 ,$1.09 ,$1.10 
D5,11/16/2021,$1.42 ,$1.46 ,$1.41 ,$1.42 ,$1.46 ,$1.41 
D3,11/16/2021,$3.43 ,$3.45 ,$3.48 ,$3.43 ,$3.41 ,$3.48 
D4,11/16/2021,$1.43 ,$1.47 ,$1.41 ,$1.43 ,$1.47 ,$1.42 
D3,11/15/2021,$3.41 ,$3.44 ,$3.47 ,$3.41 ,$3.44 ,$3.47 
D5,11/15/2021,$1.41 ,$1.45 ,$1.40 ,$1.41 ,$1.45 ,$1.40 
D4,11/15/2021,$1.42 ,$1.46 ,$1.41 ,$1.42 ,$1.46 ,$1.41 
D6,11/15/2021,$1.07 ,$1.08 ,$1.10 ,$1.07 ,$1.08 ,$1.09 
D3,11/12/2021,$3.37 ,$3.40 ,$3.45 ,$3.37 ,$3.40 ,$3.45 
D4,11/12/2021,$1.43 ,$1.46 ,$1.40 ,$1.43 ,$1.46 ,$1.40 
D5,11/12/2021,$1.42 ,$1.44 ,$1.39 ,$1.42 ,$1.44 ,$1.39 
D6,11/12/2021,$1.06 ,$1.08 ,$1.08 ,$1.06 ,$1.07 ,$1.08 
D3,11/11/2021,$3.34 ,$3.38 ,$3.34 ,$3.34 ,$3.38 ,$3.34 
D4,11/11/2021,$1.40 ,$1.46 ,$1.42 ,$1.40 ,$1.46 ,$1.40 
D5,11/11/2021,$1.39 ,$1.45 ,$1.39 ,$1.39 ,$1.45 ,$1.39 
D6,11/11/2021,$1.06 ,$1.07 ,$1.10 ,$1.06 ,$1.07 ,$1.08 
D6,11/10/2021,$1.00 ,$1.06 ,$1.07 ,$1.00 ,$1.07 ,$1.08 
D5,11/10/2021,$1.36 ,$1.46 ,$1.35 ,$1.36 ,$1.46 ,$1.40 
D4,11/10/2021,$1.37 ,$1.47 ,$1.41 ,$1.37 ,$1.47 ,$1.41 
D3,11/10/2021,$3.33 ,$3.36 ,$3.39 ,$3.33 ,$3.36 ,$3.39 
D6,11/8/2021,$1.00 ,$1.03 ,$1.05 ,$1.00 ,$1.03 ,$1.04 
D5,11/8/2021,$1.36 ,$1.42 ,$1.36 ,$1.36 ,$1.42 ,$1.36 
D4,11/8/2021,$1.37 ,$1.43 ,$1.39 ,$1.37 ,$1.43 ,$1.37 
D3,11/8/2021,$3.33 ,$3.35 ,$3.38 ,$3.33 ,$3.35 ,$3.38 
D6,11/5/2021,$1.08 ,$1.09 ,$1.11 ,$1.08 ,$1.09 ,$1.10 
D5,11/5/2021,$1.46 ,$1.51 ,$1.45 ,$1.46 ,$1.51 ,$1.45 
D4,11/5/2021,$1.47 ,$1.52 ,$1.42 ,$1.47 ,$1.52 ,$1.46 
D3,11/5/2021,$3.33 ,$3.35 ,$3.38 ,$3.33 ,$3.35 ,$3.39 
D6,11/4/2021,$1.12 ,$1.10 ,$1.12 ,$1.12 ,$1.10 ,$1.11 
D5,11/4/2021,$1.49 ,$1.51 ,$1.45 ,$1.49 ,$1.51 ,$1.45 
D4,11/4/2021,$1.50 ,$1.52 ,$1.46 ,$1.50 ,$1.52 ,$1.46 
D3,11/4/2021,$3.22 ,$3.33 ,$3.34 ,$3.22 ,$3.33 ,$3.34 
D3,11/3/2021,$3.22 ,$3.26 ,$3.24 ,$3.22 ,$3.26 ,$3.30 
D6,11/3/2021,$1.12 ,$1.14 ,$1.19 ,$1.12 ,$1.14 ,$1.15 
D4,11/3/2021,$1.50 ,$1.55 ,$1.53 ,$1.50 ,$1.55 ,$1.50 
D5,11/3/2021,$1.49 ,$1.54 ,$1.49 ,$1.49 ,$1.54 ,$1.49 
D3,11/2/2021,$3.24 ,$3.27 ,$3.30 ,$3.24 ,$3.27 ,$3.30 
D4,11/2/2021,$1.55 ,$1.59 ,$1.52 ,$1.55 ,$1.59 ,$1.51 
D5,11/2/2021,$1.54 ,$1.58 ,$1.51 ,$1.54 ,$1.58 ,$1.51 
D6,11/2/2021,$1.17 ,$1.19 ,$1.19 ,$1.17 ,$1.19 ,$1.20 
D5,11/1/2021,$1.50 ,$1.54 ,$1.48 ,$1.50 ,$1.54 ,$1.48 
D4,11/1/2021,$1.51 ,$1.55 ,$1.49 ,$1.47 ,$1.55 ,$1.49 
D3,11/1/2021,$3.15 ,$3.19 ,$3.22 ,$3.15 ,$3.19 ,$3.23 
D6,11/1/2021,$1.09 ,$1.14 ,$1.15 ,$1.09 ,$1.14 ,$1.15 
D6,10/28/2021,$1.13 ,$1.15 ,$1.19 ,$1.13 ,$1.15 ,$1.16 
D5,10/28/2021,$1.47 ,$1.51 ,$1.45 ,$1.47 ,$1.51 ,$1.45 
D4,10/28/2021,$1.48 ,$1.52 ,$1.49 ,$1.48 ,$1.52 ,$1.46 
D3,10/28/2021,$3.20 ,$3.23 ,$3.30 ,$3.20 ,$3.23 ,$3.25 
D5,10/26/2021,$1.60 ,$1.63 ,$1.57 ,$1.60 ,$1.63 ,$1.57 
D3,10/26/2021,$3.36 ,$3.43 ,$3.37 ,$3.36 ,$3.43 ,$3.37 
D4,10/26/2021,$1.61 ,$1.64 ,$1.58 ,$1.61 ,$1.64 ,$1.58 
D6,10/26/2021,$1.26 ,$1.27 ,$1.29 ,$1.26 ,$1.27 ,$1.28 
D6,10/25/2021,$1.26 ,$1.27 ,$1.29 ,$1.26 ,$1.27 ,$1.28 
D3,10/25/2021,$3.34 ,$3.39 ,$3.34 ,$3.34 ,$3.39 ,$3.34 
D4,10/25/2021,$1.62 ,$1.66 ,$1.57 ,$1.62 ,$1.66 ,$1.58 
D5,10/25/2021,$1.61 ,$1.65 ,$1.57 ,$1.61 ,$1.65 ,$1.57 
D3,10/20/2021,$3.35 ,$3.43 ,$3.35 ,$3.35 ,$3.43 ,$3.38 
D4,10/20/2021,$1.73 ,$1.78 ,$1.66 ,$1.73 ,$1.78 ,$1.68 
D6,10/20/2021,$1.40 ,$1.42 ,$1.42 ,$1.40 ,$1.42 ,$1.43 
D5,10/20/2021,$1.72 ,$1.77 ,$1.67 ,$1.72 ,$1.77 ,$1.67 
D4,10/19/2021,$1.61 ,$1.66 ,$1.61 ,$1.61 ,$1.66 ,$1.61 
D3,10/19/2021,$3.30 ,$3.35 ,$3.28 ,$3.30 ,$3.35 ,$3.30 
D5,10/19/2021,$1.60 ,$1.65 ,$1.60 ,$1.60 ,$1.65 ,$1.60 
D6,10/19/2021,$1.34 ,$1.36 ,$1.37 ,$1.34 ,$1.36 ,$1.37 
D6,10/18/2021,$1.30 ,$1.32 ,$1.32 ,$1.30 ,$1.32 ,$1.33 
D5,10/18/2021,$1.54 ,$1.58 ,$1.58 ,$1.54 ,$1.58 ,$1.58 
D4,10/18/2021,$1.55 ,$1.59 ,$1.56 ,$1.55 ,$1.59 ,$1.59 
D3,10/18/2021,$3.22 ,$3.28 ,$3.21 ,$3.22 ,$3.28 ,$3.22 
D4,10/15/2021,$1.55 ,$1.59 ,$1.54 ,$1.55 ,$1.59 ,$1.54 
D6,10/15/2021,$1.28 ,$1.29 ,$1.30 ,$1.28 ,$1.29 ,$1.30 
D3,10/15/2021,$3.18 ,$3.23 ,$3.19 ,$3.18 ,$3.23 ,$3.19 
D5,10/15/2021,$1.54 ,$1.58 ,$1.53 ,$1.54 ,$1.58 ,$1.53 
D3,10/14/2021,$3.18 ,$3.23 ,$3.18 ,$3.18 ,$3.23 ,$3.18 
D6,10/14/2021,$1.27 ,$1.29 ,$1.29 ,$1.27 ,$1.29 ,$1.29 
D5,10/14/2021,$1.53 ,$1.57 ,$1.51 ,$1.53 ,$1.57 ,$1.51 
D4,10/14/2021,$1.54 ,$1.58 ,$1.53 ,$1.54 ,$1.58 ,$1.53 
D3,10/13/2021,$3.15 ,$3.21 ,$3.13 ,$3.15 ,$3.21 ,$3.15 
D6,10/13/2021,$1.25 ,$1.27 ,$1.26 ,$1.25 ,$1.27 ,$1.27 
D5,10/13/2021,$1.50 ,$1.54 ,$1.50 ,$1.50 ,$1.54 ,$1.50 
D4,10/13/2021,$1.51 ,$1.55 ,$1.49 ,$1.51 ,$1.55 ,$1.51 
D5,10/12/2021,$1.48 ,$1.51 ,$1.46 ,$1.48 ,$1.51 ,$1.46 
D6,10/12/2021,$1.22 ,$1.24 ,$1.24 ,$1.22 ,$1.24 ,$1.24 
D4,10/12/2021,$1.49 ,$1.52 ,$1.47 ,$1.49 ,$1.52 ,$1.47 
D3,10/12/2021,$3.12 ,$3.18 ,$3.13 ,$3.12 ,$3.18 ,$3.13 
D6,10/11/2021,$1.22 ,$1.23 ,$1.23 ,$1.22 ,$1.23 ,$1.23 
D5,10/11/2021,$1.46 ,$1.51 ,$1.46 ,$1.46 ,$1.51 ,$1.46 
D4,10/11/2021,$1.47 ,$1.52 ,$1.46 ,$1.47 ,$1.52 ,$1.47 
D3,10/11/2021,$3.06 ,$3.13 ,$3.08 ,$3.06 ,$3.13 ,$3.08 
D5,10/7/2021,$1.42 ,$1.43 ,$1.43 ,$1.42 ,$1.55 ,$1.43 
D4,10/7/2021,$1.44 ,$1.45 ,$1.46 ,$1.44 ,$1.45 ,$1.45 
D3,10/7/2021,$3.02 ,$3.04 ,$3.06 ,$3.02 ,$3.04 ,$3.06 
D6,10/7/2021,$1.20 ,$1.21 ,$1.23 ,$1.20 ,$1.21 ,$1.21 
D3,10/5/2021,$3.02 ,$3.06 ,$3.04 ,$3.02 ,$3.06 ,$3.04 
D4,10/5/2021,$1.52 ,$1.56 ,$1.52 ,$1.52 ,$1.56 ,$1.53 
D5,10/5/2021,$1.51 ,$1.55 ,$1.53 ,$1.51 ,$1.55 ,$1.53 
D6,10/5/2021,$1.26 ,$1.30 ,$1.30 ,$1.26 ,$1.30 ,$1.30 
D6,10/4/2021,$1.26 ,$1.28 ,$1.31 ,$1.26 ,$1.28 ,$1.30 
D4,10/4/2021,$1.52 ,$1.55 ,$1.53 ,$1.52 ,$1.55 ,$1.53 
D3,10/4/2021,$3.00 ,$3.04 ,$3.03 ,$3.00 ,$3.04 ,$3.03 
D5,10/4/2021,$1.51 ,$1.54 ,$1.52 ,$1.51 ,$1.54 ,$1.52 
D4,10/1/2021,$1.48 ,$1.50 ,$1.50 ,$1.48 ,$1.50 ,$1.48 
D3,10/1/2021,$2.99 ,$3.04 ,$3.02 ,$2.99 ,$3.04 ,$3.02 
D5,10/1/2021,$1.47 ,$1.49 ,$1.47 ,$1.47 ,$1.49 ,$1.47 
D6,10/1/2021,$1.21 ,$1.22 ,$1.23 ,$1.21 ,$1.22 ,$1.25 
D6,9/30/2021,$1.11 ,$1.13 ,$1.14 ,$1.11 ,$1.13 ,$1.15 
D5,9/30/2021,$1.41 ,$1.42 ,$1.42 ,$1.41 ,$1.42 ,$1.42 
D4,9/30/2021,$1.42 ,$1.45 ,$1.41 ,$1.42 ,$1.45 ,$1.43 
D3,9/30/2021,$3.00 ,$3.03 ,$3.01 ,$3.00 ,$3.03 ,$3.01 
D6,9/29/2021,$0.95 ,$1.00 ,$1.00 ,$0.95 ,$1.00 ,$0.03 
D5,9/29/2021,$1.32 ,$1.35 ,$1.34 ,$1.32 ,$1.35 ,$1.34 
D4,9/29/2021,$1.33 ,$1.36 ,$1.34 ,$1.33 ,$1.36 ,$1.36 
D3,9/29/2021,$2.95 ,$2.98 ,$2.98 ,$2.95 ,$2.98 ,$2.98 
D3,9/28/2021,$2.91 ,$2.95 ,$2.93 ,$2.91 ,$2.95 ,$2.93 
D6,9/28/2021,$0.93 ,$0.94 ,$0.96 ,$0.93 ,$0.94 ,$0.96 
D5,9/28/2021,$1.30 ,$1.32 ,$1.30 ,$1.30 ,$1.32 ,$1.30 
D4,9/28/2021,$1.31 ,$1.33 ,$1.30 ,$1.31 ,$1.33 ,$1.30 
D5,9/27/2021,$1.25 ,$1.28 ,$1.26 ,$1.25 ,$1.28 ,$1.26 
D6,9/27/2021,$0.89 ,$0.90 ,$0.91 ,$0.89 ,$0.91 ,$0.92 
D4,9/27/2021,$1.26 ,$1.29 ,$1.27 ,$1.26 ,$1.29 ,$1.27 
D3,9/27/2021,$2.92 ,$2.95 ,$2.94 ,$2.92 ,$2.95 ,$2.94 
D6,9/23/2021,$0.94 ,$0.95 ,$0.91 ,$0.94 ,$0.95 ,$0.95 
D3,9/23/2021,$2.92 ,$2.99 ,$2.96 ,$2.92 ,$2.98 ,$2.96 
D4,9/23/2021,$1.28 ,$1.33 ,$1.30 ,$1.28 ,$1.33 ,$1.30 
D5,9/23/2021,$1.27 ,$1.32 ,$1.29 ,$1.27 ,$1.32 ,$1.29 
D5,9/22/2021,$1.30 ,$1.34 ,$1.29 ,$1.30 ,$1.34 ,$1.29 
D3,9/22/2021,$2.97 ,$2.92 ,$2.90 ,$2.87 ,$2.92 ,$2.90 
D4,9/22/2021,$1.31 ,$1.35 ,$1.28 ,$1.31 ,$1.35 ,$1.30 
D6,9/22/2021,$0.95 ,$0.97 ,$0.98 ,$0.95 ,$0.97 ,$0.96 
D4,9/21/2021,$1.41 ,$1.45 ,$1.38 ,$1.41 ,$1.45 ,$1.35 
D5,9/21/2021,$1.40 ,$1.44 ,$1.34 ,$1.40 ,$1.44 ,$1.34 
D6,9/21/2021,$1.06 ,$1.09 ,$1.08 ,$1.06 ,$1.08 ,$1.07 
D3,9/21/2021,$2.98 ,$3.03 ,$3.00 ,$2.98 ,$3.03 ,$3.00 
D6,9/20/2021,$1.08 ,$1.09 ,$1.10 ,$1.08 ,$1.09 ,$1.09 
D3,9/20/2021,$3.03 ,$3.03 ,$3.00 ,$2.98 ,$3.03 ,$3.00 
D4,9/20/2021,$1.43 ,$1.47 ,$1.37 ,$1.43 ,$1.47 ,$1.38 
D5,9/20/2021,$1.42 ,$1.46 ,$1.38 ,$1.42 ,$1.46 ,$1.28 
